000	126 1,91 2
00000	32 1
01	16 1
08	16 1
1	13 1,150 1,48 1,126 1,86 6,88 1
10	103 1
104	88 1
11	84 1,16 1,16 1
121bhp	86 1
126bhp	86 1
13	88 1
14	84 1
14th	88 1
155nm	86 1
159th	92 1
16	96 1,16 1
17	116 1
173	88 1
17th	82 1
1800mhz	84 1
19	85 1
1990s	89 1
1993	128 1
1994	116 1,128 1
1designed	126 1
2	162 1,78 1,166 1
20	130 1
2000	89 1
2004	82 1
2008	113 1
2009	89 3
200nm	86 1
2010	114 1
2011	83 1,89 1
2013	103 1,89 2,97 1
2014	96 1
2015	105 1,89 2,16 1
20th	105 1
21	120 1
2300mhz	84 1
24	84 1
25	116 1,130 1
26	87 1,120 1
260nm	86 1
27	119 1
28	97 1
3	88 1,159 1,68 1
30	117 1,128 1,88 1
320	91 1
34m	82 1
37	88 1
3rd	102 1
4	86 2,88 1,155 1,60 1
47	88 1
4g	84 2
5	156 1,63 1
53	128 1,88 1
56	96 1
57	82 1
5�s	125 1
6	103 1,112 1,86 7,88 1,161 1,166 1,77 1
60	110 1
6m	82 1
7	103 1,166 1
700	106 1
70m	82 1
78	88 1
8	103 1
80	93 1,104 1
89bhp	86 1
9	103 1,166 1
93	91 1
987	109 1
999	84 2
